,Unnamed: 0_x,label,onset,duration,amp,avg_vel,med_vel,peak_vel,start_x,start_y,end_x,end_y,ind_id_fn,ID,Gender,DoB,ROI1,ROI2,ROI3,Version,Valid,Valid Freeviewing
26439,6,FIXA,3.320000171661377,1.768,1210.972,57462.9,53168.594,114827.914,642.6,900.9,1685.9,286.1,20210711121139103,202107111211391,FEMALE,2000,Turtle,WomanOnBoat,Mermaid,2,True,True
26440,7,SACC,5.088000059127808,0.15,382.693,154758.066,154353.165,191439.614,1685.9,286.1,1484.0,611.2,20210711121139103,202107111211391,FEMALE,2000,Turtle,WomanOnBoat,Mermaid,2,True,True
26441,8,FIXA,5.238000154495239,0.535,133.057,56102.717,55910.008,101381.522,1484.0,611.2,1572.0,711.0,20210711121139103,202107111211391,FEMALE,2000,Turtle,WomanOnBoat,Mermaid,2,True,True
26442,9,none,5.773000001907349,0.033,65.181,124401.412,124401.412,129970.999,1572.0,711.0,1624.3,672.1,20210711121139103,202107111211391,FEMALE,2000,Turtle,WomanOnBoat,Mermaid,2,True,True
26443,10,FIXA,5.805999994277954,4.187,687.209,44516.421,42782.738,97568.222,1624.3,672.1,1173.4,153.5,20210711121139103,202107111211391,FEMALE,2000,Turtle,WomanOnBoat,Mermaid,2,True,True
26508,0,FIXA,0.0169999599456787,0.233,121.398,60188.789,56913.675,107358.875,1064.8,672.4,1033.9,789.8,20210711131101810,202107111311018,MALE,1996,Pierce,Man,Octopus,2,True,True
26509,1,none,0.25,0.033,59.671,110460.517,110460.517,112294.965,1033.9,789.8,1092.0,803.4,20210711131101810,202107111311018,MALE,1996,Pierce,Man,Octopus,2,True,True
26510,2,FIXA,0.2829999923706054,0.534,283.002,33972.404,24448.141,99666.649,1092.0,803.4,1373.0,837.0,20210711131101810,202107111311018,MALE,1996,Pierce,Man,Octopus,2,True,True
26511,3,SACC,0.8169999122619629,0.167,408.953,146337.585,147808.633,187369.93,1373.0,837.0,1486.8,444.2,20210711131101810,202107111311018,MALE,1996,Pierce,Man,Octopus,2,True,True
26512,4,FIXA,0.9839999675750732,1.068,350.464,26859.753,17265.66,93931.986,1486.8,444.2,1701.5,167.2,20210711131101810,202107111311018,MALE,1996,Pierce,Man,Octopus,2,True,True
26513,5,SACC,2.051999807357788,0.35,1107.098,190262.463,163176.914,342928.694,1701.5,167.2,597.0,91.4,20210711131101810,202107111311018,MALE,1996,Pierce,Man,Octopus,2,True,True
26514,6,FIXA,2.4019999504089355,1.535,540.423,35575.652,27964.057,94745.374,597.0,91.4,220.2,478.8,20210711131101810,202107111311018,MALE,1996,Pierce,Man,Octopus,2,True,True
